facility_name,address,city,state,zip,county,lat,long,fractracker_status,purpose,operator_name,tenant,mw_capacity,size_rank,power_source,dedicated_power_plant,number_of_generators,number_of_buildings,cooling_source,cooling_type,facility_size_sqft,property_size_acres,project_cost,expected_date_online,community_pushback,advocacy_information,resistance_status,nda,echo_registry_id,echo_facility_name,echo_facility_street,echo_facility_city,echo_facility_state,echo_naics_codes,echo_sic_codes,AIR_FLAG,NPDES_FLAG,RCRA_FLAG,SDWIS_FLAG,GHG_FLAG,CAA_PERMIT_TYPES,CWA_PERMIT_TYPES,RCRA_PERMIT_TYPES,FAC_ACTIVE_FLAG,FAC_MAJOR_FLAG,echo_distance_miles,match_score,match_name_score,match_addr_score,match_naics_hit,match_sic_hit,matched_naics,matched_sic,echo_dfr_url,match_confidence,n_air_programs,earliest_air_program_begin,latest_air_program_begin,air_program_codes,air_operating_statuses,n_water_permits,earliest_water_orig_issue,earliest_water_issue,latest_water_issue,latest_water_expiration,latest_water_termination,water_permit_types,water_permit_statuses,water_permit_numbers,earliest_known_permit_date,n_llm_events,earliest_llm_event_date,latest_llm_event_date,llm_event_types,timeline_summary,mw_low,mw_high,mw_numeric_mid,process_start_date,process_start_event_type,first_approval_date,first_approval_event_type,first_approval_actor_level,days_to_first_approval,months_to_first_approval,last_event_date,total_observed_days,is_approved,is_terminated,terminal_outcome,is_censored
Hypergrid / Fermi America AI Data Center ,"near Pantex Plant, and Hwy 60",Amarillo,TX,79068,Carson,35.28762,-101.554,Proposed,AI,Fermi America and Texas Tech,,"11,000","Mega campus (>1,000 MW)",,,,,Water,Closed loop,"18,000,000",5769,,,Yes,"Opposition groups have raised concerns about large groundwater withdrawals from the Ogallala Aquifer, nuclear reactor licensing, and the scale of the proposed AI campus.",,,110002045368,U S  DOE PANTEX PLANT,955 FM2373,PANHANDLE,TX,325920,2892 4953 3489 3493 3483,N,Y,Y,Y,N,,Non-M,"LQG, Operating TSDF",Y,Y,1.37603292720998,0.375,0.375,0.059,false,false,,,http://echo.epa.gov/detailed-facility-report?fid=110002045368,none,0,,,,,0,,,,,,,,,,10,2025-06-17,2025-12-12,construction_started|other|project_announced|project_suspended|public_hearing_held,2025-06-17(day): other=filed by Fermi America / Nuclear Regulatory Commission; 2025-06-27(day): project_announced=n_a by Fermi America / Texas Tech University System; 2025-06-27(month): construction_started=n_a by Fermi America; 2025-07-03(month): other=approved by Fermi America / Firebird LNG / Siemens Energy; 2025-08-25(day): other=n_a by Fermi America / Westinghouse; 2025-10(month): other=approved by City of Amarillo; 2025-11(month): public_hearing_held=n_a by Amarillo City Council; 2025-11-04(day): other=n_a by Fermi America (FRMI); 2025-12-12(day): project_suspended=halted by Fermi America (FRMI) tenant; 2025-12-12(day): project_suspended=halted by Fermi America,11000.0,11000.0,11000.0,2025-06-01,construction_started,2025-07-01,other,developer,30,1.0,2025-12-12,194,True,True,denied,False
CleanSpark Data Center,Unknown,Austin County,TX,,Austin,29.884085,-96.219376,Proposed,,CleanSpark,,285,Hyperscale (100-999 MW),,,,,,,,271,,2027,Unknown,,,,110064116978,BELLVILLE TUBULAR OPERATIONS,141 MILLER RD E,BELLVILLE,TX,33121,3317 3312,N,Y,Y,N,N,,Non-M,VSQG,Y,,1.1462888320720703,0.263,0.263,0.0,false,false,,,http://echo.epa.gov/detailed-facility-report?fid=110064116978,none,0,,,,,0,,,,,,,,,,4,2025-10-30,2027,land_purchased|other|power_purchase_agreement_signed|project_announced,2025-10-30(day): project_announced=n_a by CleanSpark; 2025-10-30(day): land_purchased=n_a by CleanSpark; 2025-10-30(day): power_purchase_agreement_signed=n_a by CleanSpark; 2027(year): other=planned by CleanSpark,285.0,285.0,285.0,2025-10-30,project_announced,,,,,,2027-01-01,428,False,False,pending,True
CleanSpark Data Center,Unknown,Brazoria County,TX,,Brazoria,29.182318,-95.47511,Proposed,,CleanSpark,,300-600,Hyperscale (100-999 MW),,,,,,,,44,,,Unknown,,,,110070706561,ANGLETON 288 INDUSTRIAL PARK PHASE 2 & 3,BORDERED ON THE SOUTH BY HWY 44 ANCHOR RD NORTH AN,ANGLETON,TX,,1623,N,Y,N,N,N,,Non-M,,Y,,1.3047214013790736,0.392,0.292,0.211,false,true,,1623,http://echo.epa.gov/detailed-facility-report?fid=110070706561,none,0,,,,,0,,,,,,,,,,3,2026-01,2026-01-15,land_purchased|other|project_announced,2026-01(month): land_purchased=planned by CleanSpark; 2026-01-15(day): project_announced=n_a by CleanSpark; 2026-01-15(day): other=approved by CleanSpark,300.0,600.0,450.0,2026-01-01,land_purchased,2026-01-15,other,developer,14,0.5,2026-01-15,14,True,False,approved,False
Childress Data Center (Horizon 1),620 FM1033,Childress,TX,79201,Childress,34.383278,-100.056885,Operating,,IREN,,750,Hyperscale (100-999 MW),,,,,Water,,,576,,,Unknown,,,,110072140979,OSSF 620 FM 1033,620 FM 1033,CHILDRESS,TX,518210,,N,N,Y,N,N,,,Other,,,0.04782242171597213,1.25,0.286,1.0,true,false,518210,,http://echo.epa.gov/detailed-facility-report?fid=110072140979,medium,0,,,,,0,,,,,,,,,,4,2025,2025-03-11,other|partial_operational|project_announced,2025(year): partial_operational=planned by IREN (Iris Energy); 2025(year): other=approved by Texas Comptroller of Public Accounts; 2025-03-11(day): project_announced=n_a by IREN (Iris Energy); 2025-03-11(day): other=in_progress by IREN (Iris Energy),750.0,750.0,750.0,2025-01-01,partial_operational,2025-01-01,other,state,0,0.0,2025-03-11,69,True,False,approved,False
Project Aggie (PPM Data LLC),,College Station City,TX,,Brazos,30.56981,-96.2592,Suspended,,,,600,Hyperscale (100-999 MW),,,,,,,,200,$300 million,,Unknown,,,,110064633829,AGGIE ACRES WWTP,800 FT SE OF N DOWLING RD APPROX 600 FT SW OF WALN,COLLEGE STATION,TX,,,N,Y,N,N,N,,Non-M,,,,1.1231691140395026,0.467,0.467,0.0,false,false,,,http://echo.epa.gov/detailed-facility-report?fid=110064633829,none,0,,,,,0,,,,,,,,,,5,2025-09-09,2025-09-12,land_purchased|other|project_announced|project_suspended,2025-09-09(day): project_announced=n_a by Priority Power Management (PPM Data LLC); 2025-09-09(day): land_purchased=filed by Priority Power Management (PPM Data LLC); 2025-09-09(day): other=recommended_approval by College Station City Staff; 2025-09-12(day): other=denied by College Station City Council; 2025-09-12(day): project_suspended=halted by Priority Power Management (PPM Data LLC),600.0,600.0,600.0,2025-09-09,project_announced,2025-09-09,other,local,0,0.0,2025-09-12,3,True,True,denied,False
Dallas Data Center,1515 Round Table Dr,Dallas,TX,75247,Dallas,32.83822,-96.8789,Operating,,,,12,Medium (11-50 MW),,,,,,,"96,475",,,,Unknown,,,,110002131924,LEHIGH PRESS DALLAS,1515 ROUND TABLE DR.,DALLAS,TX,323111 323110,2752 2754,N,N,Y,N,N,,,Other,,,0.051608162740042526,1.0,0.48,1.0,false,false,,,http://echo.epa.gov/detailed-facility-report?fid=110002131924,low,0,,,,,0,,,,,,,,,,1,2023-04,2023-04,project_announced,2023-04(month): project_announced=planned by Prime Data Centers,12.0,12.0,12.0,2023-04-01,project_announced,,,,,,2023-04-01,0,False,False,pending,True
Denton Data Center (Core Scientific),8171 Jim Christal Rd,Denton,TX,76207,Denton,33.21948,-97.2129,Operating,,,,391,Hyperscale (100-999 MW),,,,,,,"423,831",79,,,Unknown,,,,110070395929,DENTON ENERGY CENTER,8161 JIM CHRISTAL ROAD,DENTON,TX,221112,,N,N,N,N,Y,,,,,,0.1910447296708196,1.191,0.524,0.941,true,false,221112,,http://echo.epa.gov/detailed-facility-report?fid=110070395929,high,0,,,,,0,,,,,,,,,,6,2021,2027,fully_operational|other|partial_operational|project_announced,2021(year): fully_operational=n_a by Core Scientific; 2024-02-20(day): other=approved by Texas Comptroller; 2024-11-27(day): other=filed by Core Scientific; 2024-11-27(day): project_announced=planned by Core Scientific; 2024-11-27(day): other=approved by City of Denton; 2027(year): partial_operational=n_a by Core Scientific,391.0,391.0,391.0,2021-01-01,fully_operational,2024-02-20,other,state,1145,37.6,2027-01-01,2191,True,False,approved,False
Nexus Data Center,Btwn Hwy 171 and County 3369,Hubbard,TX,76648,Hill,31.825197,-96.75136,Proposed,,,,600,Hyperscale (100-999 MW),Natural gas,,,,,,,2000,,,Unknown,,,,110072161311,TEMPORARY BATCH PLANT HUBBARD,FROM THE INTERSECTION OF STATE 31 AND STATE ROUTE,HUBBARD,TX,327320,3273,N,Y,N,N,N,,Non-M,,,,0.7345736967180518,0.329,0.118,0.329,false,false,,,http://echo.epa.gov/detailed-facility-report?fid=110072161311,none,0,,,,,0,,,,,,,,,,6,2025-06,2026,air_permit_applied|other|partial_operational|power_purchase_agreement_signed|project_announced|public_hearing_held,2025-06(month): other=n_a by Nexus Data Centers / AirJoule Technologies; 2025-11(month): project_announced=n_a by Nexus Data Centers; 2025-11(month): public_hearing_held=n_a by Nexus Data Centers; 2025-12-03(day): air_permit_applied=filed by Nexus Data Centers; 2025-12-03(day): power_purchase_agreement_signed=in_progress by Nexus Data Centers / AirJoule Technologies; 2026(year): partial_operational=planned by AirJoule Technologies,600.0,600.0,600.0,2025-06-01,other,,,,,,2026-01-01,214,False,False,pending,True
Jarrell Data Center,FM 487,Jarrell,TX,76537,Williamson,30.81534,-97.6328,Proposed,,Mesones,,200,Hyperscale (100-999 MW),,,,,,,,151,$850 million,,Yes,https://www.kxan.com/news/local/williamson-county/jarrell-residents-concerned-about-proposed-data-center/,,,110040375082,JARRELL FACILITY,610 ALSACE,JARRELL,TX,48422,,N,N,Y,N,N,,,Other,Y,,1.410812431021914,1.0,1.0,0.125,false,false,,,http://echo.epa.gov/detailed-facility-report?fid=110040375082,low,0,,,,,0,,,,,,,,,,2,2025-08-29,2025-08-29,other|project_announced,"2025-08-29(day): project_announced=n_a by Prominent Property Group, Savannah Developers, Power Infrastructure Partners; 2025-08-29(day): other=in_progress by Jarrell, TX",200.0,200.0,200.0,2025-08-29,project_announced,,,,,,2025-08-29,0,False,False,pending,True
Lacy Lakeview Data Center ,just west of Elm Mott,Lacy Lakeview,TX,76705,McLennan,31.66293,-97.110344,Approved/Permitted/Under construction,,InfraKey Capital,,1000,"Mega campus (>1,000 MW)",,,,6,,,,520,$10 billion,2030,Yes,https://www.kxxv.com/news/local-news/in-your-neighborhood/we-dont-want-this-lacy-lakeview-approves-data-center-agreement-despite-neighbors-opposition,,,110017874709,GRONES ENVIRONMENTAL CONTRACTORS,2373 W ELM MOTT DR,WACO,TX,48411,,N,N,Y,N,N,,,Transporter,Y,,1.4160818789314,0.621,0.25,0.621,false,false,,,http://echo.epa.gov/detailed-facility-report?fid=110017874709,low,0,,,,,0,,,,,,,,,,5,2025-12-09,2026-01-21,interconnection_request_filed|other|project_announced|public_hearing_held|rezoning_council_decision,2025-12-09(day): rezoning_council_decision=approved by Lacy Lakeview City Council; 2025-12-09(day): public_hearing_held=n_a by Lacy Lakeview City Council; 2025-12-10(day): project_announced=n_a by InfraKey Capital; 2026-01-21(day): other=approved by InfraKey DC Parks / City of Lacy Lakeview; 2026-01-21(day): interconnection_request_filed=planned by InfraKey DC Parks,1000.0,1000.0,1000.0,2025-12-09,rezoning_council_decision,2025-12-09,rezoning_council_decision,local,0,0.0,2026-01-21,43,True,False,approved,False
Digital Bridge Data Center,unknown location,Lancaster,TX,75146,Dallas,32.57545,-96.6995,Proposed,,,,550,Hyperscale (100-999 MW),,,,,,,,163,,,Unknown,,,,110071657775,THE DATA DISTRICT,SOUTHEAST OF SUNRISE RD & WEST BELT LINE RD,WILMER,TX,,1623 6552,N,Y,N,N,N,,Non-M,,,,0.26828928769554916,0.47,0.37,0.261,false,true,,1623,http://echo.epa.gov/detailed-facility-report?fid=110071657775,none,0,,,,,0,,,,,,,,,,3,2025-08-18,2026,construction_started|land_purchased|project_announced,2025-08-18(day): project_announced=n_a by Yondr Group; 2025-08-18(day): land_purchased=n_a by Yondr Group; 2026(year): construction_started=planned by Yondr Group,550.0,550.0,550.0,2025-08-18,project_announced,,,,,,2026-01-01,136,False,False,pending,True
Tract Data Centers,Caldwell Technology Park. near 2859 FM2720,Lockhart,TX,78644,Caldwell,29.91816,-97.7668,Proposed,,,,360-1600,"Mega campus (>1,000 MW)",,,,,,,,3000,,2028,Unknown,,,,110071945418,EUCLID SUBSTATION,2818 FM 2720,LOCKHART,TX,221121,4911,N,Y,N,N,N,,Non-M,,Y,,1.2979073056426773,0.44,0.229,0.34,false,true,,4911,http://echo.epa.gov/detailed-facility-report?fid=110071945418,none,0,,,,,0,,,,,,,,,,8,2024-10,2028,interconnection_agreement_executed|land_purchased|other|partial_operational|project_announced|rezoning_applied,2024-10(month): project_announced=n_a by Tract; 2024-10(month): rezoning_applied=filed by Tract; 2025-05(month): land_purchased=n_a by Tract; 2026-01(month): land_purchased=n_a by Tract; 2026-01-14(day): project_announced=n_a by Tract; 2026-01-14(day): interconnection_agreement_executed=approved by Bluebonnet Electric Cooperative / LCRA; 2026-01-14(day): other=planned by Tract; 2028(year): partial_operational=planned by Tract,360.0,1600.0,980.0,2024-10-01,project_announced,2026-01-14,interconnection_agreement_executed,utility,470,15.4,2028-01-01,1187,True,False,approved,False
